,Name,Address,Capital City,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Region,Subregion
120,Tunisia,"Souk El Ahed, Tunisia",Tunis,Middle East and North Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,Africa,Northern Africa
121,Lebanon,"Jdita, Lebanon",Beirut,Middle East and North Africa,4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,Asia,Western Asia
122,Namibia,"Otjozondjupa Region, Namibia",Windhoek,Sub-Saharan Africa,4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,Africa,Southern Africa
123,Palestine,"Yafa St 32, Ramallah",Ramallah,Middle East and North Africa,4.517,0.067,4.649,4.384,8.485,0.826,62.25,0.653,-0.163,0.821,2.43,0.646,0.819,0.434,0.33,0.082,0.075,2.131,Asia,Western Asia
124,Myanmar,"Hpet Nam, Myanmar (Burma)",Naypyidaw,Southeast Asia,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,Asia,South-Eastern Asia
125,Jordan,"Qatraneh District, Jordan",Amman,Middle East and North Africa,4.395,0.062,4.516,4.273,9.182,0.767,67,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,Asia,Western Asia
126,Chad,"Batha-Ouest, Chad",N'Djamena,Sub-Saharan Africa,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0,0.24,0.215,0.084,3.209,Africa,Middle Africa
127,Sri Lanka,"Jangulla Junction Bus Stop, Sri Lanka",Colombo,South Asia,4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,Asia,Southern Asia
128,Swaziland,"Unnamed Road, Eswatini",Lobamba,Sub-Saharan Africa,4.308,0.071,4.448,4.168,9.065,0.77,50.833,0.647,-0.185,0.708,2.43,0.849,0.693,0.074,0.323,0.067,0.147,2.155,Africa,Southern Africa
129,Comoros,Comoros,Moroni,Sub-Saharan Africa,4.289,0.084,4.454,4.123,8.031,0.626,57.349,0.548,0.082,0.781,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,Africa,Eastern Africa
130,Egypt,"Al Farafra Desert, New Valley Governorate, Egypt",Cairo,Middle East and North Africa,4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,Africa,Northern Africa
131,Ethiopia,"Unnamed Road, Ethiopia",Addis Ababa,Sub-Saharan Africa,4.275,0.051,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,Africa,Eastern Africa
132,Mauritania,"Chinguetti, Mauritania",Nouakchott,Sub-Saharan Africa,4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,Africa,Western Africa
133,Madagascar,"Antsirabe II, Madagascar",Antananarivo,Sub-Saharan Africa,4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,Africa,Eastern Africa
134,Togo,"Sotouboua, Togo",Lomé,Sub-Saharan Africa,4.107,0.077,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806,Africa,Western Africa
135,Zambia,"Chongwe, Zambia",Lusaka,Sub-Saharan Africa,4.073,0.069,4.209,3.938,8.145,0.708,55.809,0.782,0.061,0.823,2.43,0.528,0.552,0.231,0.487,0.227,0.074,1.975,Africa,Eastern Africa
136,Sierra Leone,"Unnamed Road, Sierra Leone",Freetown,Sub-Saharan Africa,3.849,0.077,4.001,3.698,7.434,0.63,51.651,0.717,0.084,0.866,2.43,0.279,0.377,0.1,0.408,0.243,0.047,2.396,Africa,Western Africa
137,India,British Indian Ocean Territory,Diego Garcia,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,Africa,Eastern Africa
138,Burundi,"Unnamed Road, Muyange, Burundi",Bujumbura,Sub-Saharan Africa,3.775,0.107,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,0.607,2.43,0,0.062,0.155,0.298,0.172,0.212,2.876,Africa,Eastern Africa
139,Yemen,"Hadhramaut Governorate, Yemen",Sana'a,Middle East and North Africa,3.658,0.07,3.794,3.521,7.578,0.832,57.122,0.602,-0.147,0.8,2.43,0.329,0.831,0.272,0.268,0.092,0.089,1.776,Asia,Western Asia
140,Tanzania,"Unnamed Road, Tanzania",Dodoma,Sub-Saharan Africa,3.623,0.071,3.762,3.485,7.876,0.702,57.999,0.833,0.183,0.577,2.43,0.433,0.54,0.3,0.549,0.307,0.231,1.263,Africa,Eastern Africa
141,Haiti,"Unnamed Road, Haiti",Port-au-Prince,Latin America and Caribbean,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,Americas,Caribbean
142,Malawi,"Unnamed Road, Malawi",Lilongwe,Sub-Saharan Africa,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,Africa,Eastern Africa
144,Botswana,"Unnamed Road, Botswana",Gaborone,Sub-Saharan Africa,3.467,0.074,3.611,3.322,9.782,0.784,59.269,0.824,-0.246,0.801,2.43,1.099,0.724,0.34,0.539,0.027,0.088,0.648,Africa,Southern Africa
145,Rwanda,"Unnamed Road, Rwanda",Kigali,Sub-Saharan Africa,3.415,0.068,3.548,3.282,7.676,0.552,61.4,0.897,0.061,0.167,2.43,0.364,0.202,0.407,0.627,0.227,0.493,1.095,Africa,Eastern Africa
146,Zimbabwe,"Hwande Road, Zimbabwe",Harare,Sub-Saharan Africa,3.145,0.058,3.259,3.03,7.943,0.75,56.201,0.677,-0.047,0.821,2.43,0.457,0.649,0.243,0.359,0.157,0.075,1.205,Africa,Eastern Africa
147,Afghanistan,"Baghran, Afghanistan",Kabul,South Asia,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0,0.126,0,0.122,0.01,1.895,Asia,Southern Asia
