,Name,Address,Capital City,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Region,Subregion
94,Niger,"Tchirozerine, Niger",Niamey,Sub-Saharan Africa,5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,Africa,Western Africa
95,Turkmenistan,"Daşoguz Region, Turkmenistan",Ashgabat,Commonwealth of Independent States,5.066,0.036,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,Asia,Central Asia
96,Gambia,"Marina Parade, Banjul, The Gambia",Banjul,Sub-Saharan Africa,5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,Africa,Western Africa
97,Benin,"Tchaourou, Benin",Porto-Novo,Sub-Saharan Africa,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,Africa,Western Africa
98,Laos,"Bolikhamsai Province, Laos",Vientiane,Southeast Asia,5.03,0.045,5.119,4.941,8.947,0.728,58.968,0.91,0.123,0.658,2.43,0.808,0.598,0.33,0.643,0.268,0.179,2.204,Asia,South-Eastern Asia
99,Bangladesh,"Chhota Angutia, Bangladesh",Dhaka,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,Asia,Southern Asia
100,Guinea,"Bata, Equatorial Guinea",Malabo,Sub-Saharan Africa,4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,Africa,Middle Africa
101,South Africa,"Unnamed Road, South Africa",Pretoria,Sub-Saharan Africa,4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,Africa,Southern Africa
102,Turkey,"İzmiryolu 2.km Burhaniye, 50840 Paşalı/Avanos/Nevşehir, Turkey",Ankara,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,Asia,Western Asia
103,Pakistan,"Tuman Leghari, Dera Ghazi Khan, Pakistan",Islamabad,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,Asia,Southern Asia
